Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Post,Image_Text,Image_URL
Vladimir Putin,Video,Investment Scam,A false claim that A viral photo claims the dinner menu from the state banquet hosted at the Rashtrapati Bhavan for Russian President Vladimir Putin during his recent visit to India contained multiple spelling mistakes,A viral photo claims the dinner menu from the state banquet hosted at the Rashtrapati Bhavan for Russian President Vladimir Putin during his recent visit to India contained multiple spelling mistakes.,"A viral photo claims the dinner menu from the state banquet hosted at the Rashtrapati Bhavan for Russian President Vladimir Putin during his recent visit to India contained multiple spelling mistakes.



Screengrab from X post by @jawharsircar

Also Read: Viral Photo Claiming To Show Putin Reading Bhagavad Gita Aboard Plane Is AI-Generated

Evidence

A keyword search led us to a December 5, 2025 p",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
Air India,Deepfake Video,Investment Scam,"A false claim that Ahmedabad Plane Crash: Viral ‘Last’ Photo Of Ex-Gujarat CM Vijay Rupani Is From 2021, Not Onboard Ill-Fated Air India Flight

Several social media users shared an image, claiming that it was the last photo of former Gujarat CM Vijay Rupani, who was among those killed on the London-bound Air India flight that crashed shortly after take-off in Ahmedabad on Thursday","From misinformation around the catastrophic crash of Air India flight 171 in Ahmedabad, to phishing attempts by fraudsters impersonating prominent personalities and brands, here are our top fact-check","From misinformation around the catastrophic crash of Air India flight 171 in Ahmedabad, to phishing attempts by fraudsters impersonating prominent personalities and brands, here are our top fact-checks from this week.

Ahmedabad Plane Crash: Viral ‘Last’ Photo Of Ex-Gujarat CM Vijay Rupani Is From 2021, Not Onboard Ill-Fated Air India Flight

Several social media users shared an image, claiming th",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
Gautam Adani,YouTube,Investment Scam,"A false claim that A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian ci","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian citizens to invest ₹21,000 in the scheme, promising returns of ₹15 lakh within the first month. In this article, let us verify the authenticity of the video.

The archived version of this post can be fo",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
The 16th Finance Commission,Video,Fake News,A false claim that be/vd3ZdeZS9jM A post claiming to show a letter from the Indian Ministry of Commerce and… https://youtu,"TL;DR India’s prisons are running over capacity, with overcrowding worsening again in recent years despite… TL;DR: India has signed over 4,000 agreements/treaties/MoUs since 1950, building one of the ","TL;DR India’s prisons are running over capacity, with overcrowding worsening again in recent years despite… TL;DR: India has signed over 4,000 agreements/treaties/MoUs since 1950, building one of the world’s largest networks… TL;DR: The 16th Finance Commission marks a shift toward rewarding economic performance, benefiting southern States through… TL;DR: Central Public Sector Enterprises (CPSEs) c",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Narendra Modi,Video,Political Misinformation,A false claim that A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu,A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu.be/p-mIuK3UhEE A video shared on a Facebook account under the name ‘Laila Rao’ claims that… https://,A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu.be/p-mIuK3UhEE A video shared on a Facebook account under the name ‘Laila Rao’ claims that… https://youtu.be/w5owRZxrhe4 Update (08 August 2023): Another post sharing an URL and the screenshot of a… The Parliamentary Standing Committee on Housing & Urban Affairs recently submitted a report on the… I,https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
"Fact-Check Team

Fact-Check Team

Rakesh Dubbudu",Video,Fake News,"A false claim that Murshid Molayil (Research Analyst)

Murshid has a postgraduate degree in Social Science and specialises in researching and analysing social media trends","Fact-Check Team

Fact-Check Team

Rakesh Dubbudu (Chief Editor)

Rakesh has been working on issues related to Right to Information (RTI) for a decade. He is a Data/Information enthusiast & passionate ","Fact-Check Team

Fact-Check Team

Rakesh Dubbudu (Chief Editor)

Rakesh has been working on issues related to Right to Information (RTI) for a decade. He is a Data/Information enthusiast & passionate about Governance/Policy issues.

Bharath Guniganti (Editor)

Bharat is a Data enthusiast and is keen about fact-checking.

Harshavardhan Konda (Lead Fact-Checker)

Harshavardhan is an Engineer by educ",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
ITR,Other,Fake News,A false claim that ITR-6: Companies (except those claiming exemptions),"TL;DR Income Tax Return (ITR) filings in India have grown steadily, reaching 8.9 crore in AY 2024–25, up from 6.5 crore in AY 2018–19. The composition of return types is shifting, with salaried taxpay","TL;DR Income Tax Return (ITR) filings in India have grown steadily, reaching 8.9 crore in AY 2024–25, up from 6.5 crore in AY 2018–19. The composition of return types is shifting, with salaried taxpayers (ITR-1) still dominating, though their share is falling, while returns under ITR-2 (capital gains/complex incomes) and ITR-4 (small businesses/professionals) have risen.

Context:

Income Tax Retu",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Maharashtra,Social Media,Investment Scam,"A false claim that After the incident, a Facebook advertisement began circulating on social media claiming that Pawar had left behind a will revealing a secret AI-based money-making platform that allegedly earned him crores","Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pune district on 28 January 2026. After the incident, a Facebook advertisement b","Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pune district on 28 January 2026. After the incident, a Facebook advertisement began circulating on social media claiming that Pawar had left behind a will revealing a secret AI-based money-making platform that allegedly earned him crores. The advertisement features Pawar’s image",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Gautam Adani,YouTube,Investment Scam,"A false claim that A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian ci","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian citizens to invest ₹21,000 in the scheme, promising returns of ₹15 lakh within the first month. In this article, let us verify the authenticity of the video.

The archived version of this post can be fo",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Nirmala Sitharaman,Deepfake Video,Investment Scam,A false claim that A video featuring Indian Finance Minister Nirmala Sitharaman and RBI Governor Shaktikanta Das promoting the Government’s ‘income-generating platform’ is being widely shared on social media,A video featuring Indian Finance Minister Nirmala Sitharaman and RBI Governor Shaktikanta Das promoting the Government’s ‘income-generating platform’ is being widely shared on social media. The video ,"A video featuring Indian Finance Minister Nirmala Sitharaman and RBI Governor Shaktikanta Das promoting the Government’s ‘income-generating platform’ is being widely shared on social media. The video purportedly shows them urging Indian citizens to invest ₹21,000 in the project, promising returns of ₹15 lakh in a month. Let’s verify the authenticity of this video.

Archived post can be seen here

",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
UNESCO,News Article,Investment Scam,A false claim related to financial misinformation.,UNESCO believes that Community Radio has the potential to democratize communication & broadcasting. But despite… According to the data provided by the Ministry of Finance in reply to an RTI… Arun Jait,"UNESCO believes that Community Radio has the potential to democratize communication & broadcasting. But despite… According to the data provided by the Ministry of Finance in reply to an RTI… Arun Jaitley has presented his second budget for the year 2015-16, in the Parliament. He… Now that we learnt everything about SEZs in our first article, why they were created,… The Parliament is debating the a",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
https://youtu.be/fHNXgxHLuT8,Video,Political Misinformation,"A false claim that be/fHNXgxHLuT8 A post featuring an article published by Punjab Kesari with the headline: “RBI Gold… 15 డిసెంబర్ 2025 నాటి ఒక అధికారిక గెజిట్ నోటిఫికేషన్ యొక్క గ్రాఫిక్‌ను కలిగి ఉన్న పోస్ట్‌ను (ఇక్కడ, ఇక్కడ)… https://youtu",https://youtu.be/fHNXgxHLuT8 A post featuring an article published by Punjab Kesari with the headline: “RBI Gold… 15 డిసెంబర్ 2025 నాటి ఒక అధికారిక గెజిట్ నోటిఫికేషన్ యొక్క గ్రాఫిక్‌ను కలిగి ఉన్న పోస్,"https://youtu.be/fHNXgxHLuT8 A post featuring an article published by Punjab Kesari with the headline: “RBI Gold… 15 డిసెంబర్ 2025 నాటి ఒక అధికారిక గెజిట్ నోటిఫికేషన్ యొక్క గ్రాఫిక్‌ను కలిగి ఉన్న పోస్ట్‌ను (ఇక్కడ, ఇక్కడ)… https://youtu.be/1zDeggkrPGs A post featuring a graphic of an official Gazzate notification dated 15 December 2025… “భారత ప్రభుత్వం 21 నవంబర్ 2025న ప్రకటించిన ‘2025 సీనియర్ స్కీం",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Nirmala Sitharaman,YouTube,Investment Scam,"A false claim that A video claiming to show Union Finance Minister Nirmala Sitharaman endorsing an investment platform and claiming that people can earn ₹80,000 a day is a deepfake","A video claiming to show Union Finance Minister Nirmala Sitharaman endorsing an investment platform and claiming that people can earn ₹80,000 a day is a deepfake.

BOOM found the original speech by Si","A video claiming to show Union Finance Minister Nirmala Sitharaman endorsing an investment platform and claiming that people can earn ₹80,000 a day is a deepfake.

BOOM found the original speech by Sitharaman from December 2025, in which she does not give any such investment advise during her address.

In the 2.34 minutes video, Sitharaman can be heard saying, ""Unlike others, I don't make empty pr",/images/logo.svg?v=1
Rajdeep Sardesai,YouTube,Investment Scam,A false claim that Claim: Viral clip shows journalist Rajdeep Sardesai and Finance Minister Nirmala Sitharaman speaking about guaranteed returns on investments,"Claim: Viral clip shows journalist Rajdeep Sardesai and Finance Minister Nirmala Sitharaman speaking about guaranteed returns on investments.

Conclusion: The claim is totally false. The video has bee","Claim: Viral clip shows journalist Rajdeep Sardesai and Finance Minister Nirmala Sitharaman speaking about guaranteed returns on investments.

Conclusion: The claim is totally false. The video has been altered by AI to spread fake information.

Rating: Totally false —

A video has been circulating on social media allegedly featuring journalist Rajdeep Sardesai and Finance Minister of India, Nirmal",
Reliance Industries,YouTube,Investment Scam,A false claim that A video of Reliance Industries chairman Mukesh Ambani allegedly endorsing a new investment scheme is making the rounds on social media,"A video of Reliance Industries chairman Mukesh Ambani allegedly endorsing a new investment scheme is making the rounds on social media.Â

In the video, he can be heard saying, “An important announceme","A video of Reliance Industries chairman Mukesh Ambani allegedly endorsing a new investment scheme is making the rounds on social media.Â

In the video, he can be heard saying, “An important announcement for all residents of India. I’m announcing a new investment project for the people of India. I personally support the project where everyone can earn without risks and appoint Sona Agarwal as the h",https://akm-img-a-in.tosshub.com/sites/indiatoday/resources/img/default-690x413.png
Reliance Industries,Deepfake Video,Investment Scam,A false claim that A video of Reliance Industries chairman Mukesh Ambani advising people about a get-rich-quick scheme has been making the rounds on social media,"A video of Reliance Industries chairman Mukesh Ambani advising people about a get-rich-quick scheme has been making the rounds on social media. In the video, India’s and Asia’s richest man can be seen","A video of Reliance Industries chairman Mukesh Ambani advising people about a get-rich-quick scheme has been making the rounds on social media. In the video, India’s and Asia’s richest man can be seen persuading people to follow his “student” Veenit on social media to get free-of-cost investment advice for wealth multiplication.Â

A Facebook userÂ shared the video and wrote, “Benefits are coming! ",https://akm-img-a-in.tosshub.com/sites/indiatoday/resources/img/default-690x413.png
Sudha Murthy,YouTube,Investment Scam,"A false claim that Viral videos featuring philanthropist Sudha Murthy and Infosys co-founder Narayan Murthy, endorsing an investment scheme are fake","Viral videos featuring philanthropist Sudha Murthy and Infosys co-founder Narayan Murthy, endorsing an investment scheme are fake. Both these videos have been generated using AI tools.

Lighthouse Jou","Viral videos featuring philanthropist Sudha Murthy and Infosys co-founder Narayan Murthy, endorsing an investment scheme are fake. Both these videos have been generated using AI tools.

Lighthouse Journalism found a few videos featuring, author, philanthropist Sudha Murthy and her husband, co-founder of Infosys, Narayana Murthy. In these videos, both were seen endorsing an investment scheme.

Duri",https://sb.scorecardresearch.com/p?c1=2&c2=8738137&cv=3.6.0&cj=1
Maharashtra,Social Media,Investment Scam,A false claim that Claim: Former Maharashtra Deputy CM Ajit Pawar’s will reveals an AI investment platform that earned him crores of rupees,Claim: Former Maharashtra Deputy CM Ajit Pawar’s will reveals an AI investment platform that earned him crores of rupees. Fact: False. Ajit Pawar did not leave any will revealing a money-making invest,"Claim: Former Maharashtra Deputy CM Ajit Pawar’s will reveals an AI investment platform that earned him crores of rupees. Fact: False. Ajit Pawar did not leave any will revealing a money-making investment platform. The Facebook ads are part of a fraudulent scheme.

Hyderabad: Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pun",
Indian Express,News Article,Investment Scam,"A false claim that Claim

An Indian Express report stated that the will of former Maharashtra deputy CM Ajit Pawar, who was recently killed in a plane crash in Baramati, entrusted an AI-based investment platform to his family","Claim

An Indian Express report stated that the will of former Maharashtra deputy CM Ajit Pawar, who was recently killed in a plane crash in Baramati, entrusted an AI-based investment platform to his ","Claim

An Indian Express report stated that the will of former Maharashtra deputy CM Ajit Pawar, who was recently killed in a plane crash in Baramati, entrusted an AI-based investment platform to his family.

Fact

Newschecker noticed that the URL of the news report is “https://brendorgon.top/DnBtp3BF,” which is different from the official Indian Express website. The official URL is https://indian",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
Union Home,YouTube,Investment Scam,A false claim that A video shared widely on social media allegedly shows Union Home Minister Amit Shah announcing an investment scheme for the general public while addressing a large crowd at a public rally,"A video shared widely on social media allegedly shows Union Home Minister Amit Shah announcing an investment scheme for the general public while addressing a large crowd at a public rally.



Screengr","A video shared widely on social media allegedly shows Union Home Minister Amit Shah announcing an investment scheme for the general public while addressing a large crowd at a public rally.



Screengrab from Facebook post by @EMVECONSULTING

Also Read: This Viral Video Shows Wrestling Tournament In Rajasthan, Not ‘Save Aravalli’ Protest

Evidence

1. No Credible Reports or Official Confirmation


",https://newschecker.dietpixels.net/main/img/footer-logo.svg?quality=71&format=webp&w=1920
NC Media Networks Pvt,Other,Fake News,A false claim that We welcome our readers to send us claims to fact check,"About Us

Newchecker.in is an independent fact-checking initiative of NC Media Networks Pvt. Ltd. We welcome our readers to send us claims to fact check. If you believe a story or statement deserves a","About Us

Newchecker.in is an independent fact-checking initiative of NC Media Networks Pvt. Ltd. We welcome our readers to send us claims to fact check. If you believe a story or statement deserves a fact check, or an error has been made with a published fact check

Contact Us: checkthis@newschecker.in",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
Nasser Hussain,Deepfake Video,Investment Scam,"A false claim that Claim

Former England men’s cricket team captain and commentator Nasser Hussain proposes a ban against Indian Under-19 star batter Vaibhav Sooryavanshi after he scored a record-breaking century in the U-19 World Cup final against England, which powered India to their sixth title","Claim

Former England men’s cricket team captain and commentator Nasser Hussain proposes a ban against Indian Under-19 star batter Vaibhav Sooryavanshi after he scored a record-breaking century in the","Claim

Former England men’s cricket team captain and commentator Nasser Hussain proposes a ban against Indian Under-19 star batter Vaibhav Sooryavanshi after he scored a record-breaking century in the U-19 World Cup final against England, which powered India to their sixth title.

We received this claim on our Whatsapp tipline (+91-9999499044), too, with users requesting us to fact-check it.

Fact",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
India’s External Affairs,YouTube,Investment Scam,A false claim that A video circulating on social media platforms claims that India’s External Affairs Minister Dr S Jaishankar is endorsing a lucrative investment opportunity allegedly backed by the Reserve Bank of India (RBI) and the Government of India,A video circulating on social media platforms claims that India’s External Affairs Minister Dr S Jaishankar is endorsing a lucrative investment opportunity allegedly backed by the Reserve Bank of Indi,"A video circulating on social media platforms claims that India’s External Affairs Minister Dr S Jaishankar is endorsing a lucrative investment opportunity allegedly backed by the Reserve Bank of India (RBI) and the Government of India. The video promises unusually high financial returns and urges viewers to invest.

Newschecker received the video via its WhatsApp tipline (+91-9999499044), request",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
Indira Gandhi,Deepfake Video,Investment Scam,A false claim that A video circulating online claims to show former Prime Minister Indira Gandhi in an old interview,"A video circulating online claims to show former Prime Minister Indira Gandhi in an old interview. In the clip, a journalist allegedly asks whether the Emergency safeguarded the nation’s democracy or ","A video circulating online claims to show former Prime Minister Indira Gandhi in an old interview. In the clip, a journalist allegedly asks whether the Emergency safeguarded the nation’s democracy or merely her own political position, after which she appears to remain silent.

Screengrab from X post by @BeingArun28

Also Read: Viral Video of Sudha Murty Endorsing Dubious Investment Platform Is Doc",https://newschecker.dietpixels.net/main/img/footer-logo.svg?quality=71&format=webp&w=1920
Union Finance,YouTube,Investment Scam,"A false claim that Claim

A video circulating online claims that Union Finance Minister Nirmala Sitharaman has endorsed an AI-powered investment platform that guarantees profits for investors","Claim

A video circulating online claims that Union Finance Minister Nirmala Sitharaman has endorsed an AI-powered investment platform that guarantees profits for investors.

Screengrab from Facebook ","Claim

A video circulating online claims that Union Finance Minister Nirmala Sitharaman has endorsed an AI-powered investment platform that guarantees profits for investors.

Screengrab from Facebook post by Nvkt

Also Read: Viral Photos of Smriti Mandhana With Virat Kohli After WPL 2026 Win Are AI-Generated

Fact

No credible reports: Keyword searches for “Nirmala Sitharaman AI investment platfor",https://newschecker.dietpixels.net/main/img/header-logo.svg?quality=71&format=webp&w=384
Gautam Adani,YouTube,Investment Scam,"A false claim that A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian ci","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian citizens to invest ₹21,000 in the scheme, promising returns of ₹15 lakh within the first month. In this article, let us verify the authenticity of the video.

The archived version of this post can be fo",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
The 16th Finance Commission,Video,Fake News,A false claim that be/vd3ZdeZS9jM A post claiming to show a letter from the Indian Ministry of Commerce and… https://youtu,"TL;DR India’s prisons are running over capacity, with overcrowding worsening again in recent years despite… TL;DR: India has signed over 4,000 agreements/treaties/MoUs since 1950, building one of the ","TL;DR India’s prisons are running over capacity, with overcrowding worsening again in recent years despite… TL;DR: India has signed over 4,000 agreements/treaties/MoUs since 1950, building one of the world’s largest networks… TL;DR: The 16th Finance Commission marks a shift toward rewarding economic performance, benefiting southern States through… TL;DR: Central Public Sector Enterprises (CPSEs) c",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Narendra Modi,Video,Political Misinformation,A false claim that A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu,A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu.be/p-mIuK3UhEE A video shared on a Facebook account under the name ‘Laila Rao’ claims that… https://,A social media post asserts that Narendra Modi is the only Prime Minister in India’s… https://youtu.be/p-mIuK3UhEE A video shared on a Facebook account under the name ‘Laila Rao’ claims that… https://youtu.be/w5owRZxrhe4 Update (08 August 2023): Another post sharing an URL and the screenshot of a… The Parliamentary Standing Committee on Housing & Urban Affairs recently submitted a report on the… I,https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
"Fact-Check Team

Fact-Check Team

Rakesh Dubbudu",Video,Fake News,"A false claim that Murshid Molayil (Research Analyst)

Murshid has a postgraduate degree in Social Science and specialises in researching and analysing social media trends","Fact-Check Team

Fact-Check Team

Rakesh Dubbudu (Chief Editor)

Rakesh has been working on issues related to Right to Information (RTI) for a decade. He is a Data/Information enthusiast & passionate ","Fact-Check Team

Fact-Check Team

Rakesh Dubbudu (Chief Editor)

Rakesh has been working on issues related to Right to Information (RTI) for a decade. He is a Data/Information enthusiast & passionate about Governance/Policy issues.

Bharath Guniganti (Editor)

Bharat is a Data enthusiast and is keen about fact-checking.

Harshavardhan Konda (Lead Fact-Checker)

Harshavardhan is an Engineer by educ",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
ITR,Other,Fake News,A false claim that ITR-6: Companies (except those claiming exemptions),"TL;DR Income Tax Return (ITR) filings in India have grown steadily, reaching 8.9 crore in AY 2024–25, up from 6.5 crore in AY 2018–19. The composition of return types is shifting, with salaried taxpay","TL;DR Income Tax Return (ITR) filings in India have grown steadily, reaching 8.9 crore in AY 2024–25, up from 6.5 crore in AY 2018–19. The composition of return types is shifting, with salaried taxpayers (ITR-1) still dominating, though their share is falling, while returns under ITR-2 (capital gains/complex incomes) and ITR-4 (small businesses/professionals) have risen.

Context:

Income Tax Retu",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Maharashtra,Social Media,Investment Scam,"A false claim that After the incident, a Facebook advertisement began circulating on social media claiming that Pawar had left behind a will revealing a secret AI-based money-making platform that allegedly earned him crores","Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pune district on 28 January 2026. After the incident, a Facebook advertisement b","Ajit Pawar, who was serving as the Deputy Chief Minister of Maharashtra, died in a plane crash near Baramati Airport in Pune district on 28 January 2026. After the incident, a Facebook advertisement began circulating on social media claiming that Pawar had left behind a will revealing a secret AI-based money-making platform that allegedly earned him crores. The advertisement features Pawar’s image",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
Gautam Adani,YouTube,Investment Scam,"A false claim that A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian ci","A video (here, here) showing Indian industrialist and billionaire Gautam Adani promoting an investment scheme is being widely shared on social media. The video purportedly shows Adani urging Indian citizens to invest ₹21,000 in the scheme, promising returns of ₹15 lakh within the first month. In this article, let us verify the authenticity of the video.

The archived version of this post can be fo",https://factly.in/wp-content/uploads//2021/01/factly-logo88-08.png
